Week,Git,Subversion,Perforce
2013-03-23,142.4347826087,15.8260869565,4.5217391304
2013-03-30,135.652173913,13.5652173913,4.5217391304
2013-04-06,146.9565217391,15.8260869565,4.5217391304
2013-04-13,144.6956521739,15.8260869565,6.7826086957
2013-04-20,144.6956521739,15.8260869565,6.7826086957
2013-04-27,135.652173913,13.5652173913,4.5217391304
2013-05-04,137.9130434783,13.5652173913,4.5217391304
2013-05-11,142.4347826087,13.5652173913,4.5217391304
2013-05-18,137.9130434783,13.5652173913,4.5217391304
2013-05-25,140.1739130435,13.5652173913,4.5217391304
2013-06-01,146.9565217391,15.8260869565,6.7826086957
2013-06-08,142.4347826087,13.5652173913,4.5217391304
2013-06-15,144.6956521739,13.5652173913,6.7826086957
2013-06-22,144.6956521739,13.5652173913,6.7826086957
2013-06-29,142.4347826087,13.5652173913,4.5217391304
2013-07-06,151.4782608696,13.5652173913,6.7826086957
2013-07-13,149.2173913043,13.5652173913,6.7826086957
2013-07-20,149.2173913043,13.5652173913,6.7826086957
2013-07-27,151.4782608696,13.5652173913,6.7826086957
2013-08-03,146.9565217391,13.5652173913,6.7826086957
2013-08-10,142.4347826087,13.5652173913,6.7826086957
2013-08-17,149.2173913043,13.5652173913,6.7826086957
2013-08-24,144.6956521739,13.5652173913,6.7826086957
2013-08-31,144.6956521739,13.5652173913,6.7826086957
2013-09-07,146.9565217391,13.5652173913,6.7826086957
2013-09-14,149.2173913043,13.5652173913,4.5217391304
2013-09-21,151.4782608696,13.5652173913,6.7826086957
2013-09-28,153.7391304348,13.5652173913,6.7826086957
2013-10-05,158.2608695652,13.5652173913,4.5217391304
2013-10-12,158.2608695652,13.5652173913,6.7826086957
2013-10-19,160.5217391304,13.5652173913,6.7826086957
2013-10-26,162.7826086957,13.5652173913,4.5217391304
2013-11-02,162.7826086957,13.5652173913,4.5217391304
2013-11-09,162.7826086957,13.5652173913,6.7826086957
2013-11-16,162.7826086957,13.5652173913,4.5217391304
2013-11-23,151.4782608696,11.3043478261,4.5217391304
2013-11-30,160.5217391304,11.3043478261,4.5217391304
2013-12-07,156,11.3043478261,4.5217391304
2013-12-14,153.7391304348,11.3043478261,4.5217391304
2013-12-21,110.7826086957,6.7826086957,2.2608695652
2013-12-28,110.7826086957,6.7826086957,2.2608695652
2014-01-04,156,11.3043478261,6.7826086957
